frame,nose_x,nose_y,nose_likelihood,neck_x,neck_y,neck_likelihood,withers_x,withers_y,withers_likelihood,frontleg_x,frontleg_y,frontleg_likelihood,backleg_x,backleg_y,backleg_likelihood
0,310,229,0.95,350,247,0.96,412,256,0.94,438,345,0.92,522,353,0.91
1,315,231,0.95,355,250,0.96,417,258,0.94,443,349,0.92,527,351,0.91
2,321,233,0.95,361,252,0.96,423,260,0.94,449,354,0.92,533,348,0.91
3,327,236,0.95,367,254,0.96,429,261,0.94,455,358,0.92,539,346,0.91
4,332,238,0.95,372,255,0.96,434,262,0.94,460,362,0.92,544,344,0.91
5,338,239,0.95,378,256,0.96,440,263,0.94,466,365,0.92,550,343,0.91
6,344,239,0.95,384,256,0.96,446,263,0.94,472,365,0.92,556,343,0.91
7,350,240,0.95,390,257,0.96,452,264,0.94,478,366,0.92,562,344,0.91
8,355,241,0.95,395,258,0.96,457,264,0.94,483,366,0.92,567,346,0.91
9,361,241,0.95,401,258,0.96,463,264,0.94,489,365,0.92,573,349,0.91
10,366,240,0.95,406,257,0.96,468,263,0.94,494,362,0.92,578,352,0.91
11,372,240,0.95,412,256,0.96,474,264,0.94,500,359,0.92,584,357,0.91
12,377,238,0.95,417,256,0.96,479,263,0.94,505,356,0.92,589,360,0.91
13,383,238,0.95,423,255,0.96,485,262,0.94,511,352,0.92,595,364,0.91
14,388,236,0.95,428,254,0.96,490,262,0.94,516,349,0.92,600,367,0.91
15,394,236,0.95,434,254,0.96,496,262,0.94,522,346,0.92,606,372,0.91
16,399,234,0.95,439,252,0.96,501,261,0.94,527,342,0.92,611,374,0.91
17,404,233,0.95,444,252,0.96,506,261,0.94,532,340,0.92,616,376,0.91
18,409,233,0.95,449,252,0.96,511,261,0.94,537,339,0.92,621,377,0.91
19,414,233,0.95,454,252,0.96,516,261,0.94,542,339,0.92,626,377,0.91
20,420,232,0.95,460,251,0.96,522,260,0.94,548,338,0.92,632,376,0.91
21,424,232,0.95,464,252,0.96,526,261,0.94,552,340,0.92,636,374,0.91
22,429,232,0.95,469,252,0.96,531,261,0.94,557,342,0.92,641,370,0.91
23,434,233,0.95,474,252,0.96,536,261,0.94,562,344,0.92,646,366,0.91
24,439,233,0.95,479,252,0.96,541,260,0.94,567,347,0.92,651,361,0.91
25,443,234,0.95,483,252,0.96,545,261,0.94,571,350,0.92,655,358,0.91
26,448,234,0.95,488,253,0.96,550,261,0.94,576,352,0.92,660,354,0.91
27,452,234,0.95,492,253,0.96,554,261,0.94,580,355,0.92,664,349,0.91
28,457,235,0.95,497,253,0.96,559,260,0.94,585,357,0.92,669,345,0.91
29,461,235,0.95,501,252,0.96,563,259,0.94,589,359,0.92,673,341,0.91
30,465,234,0.95,505,251,0.96,567,258,0.94,593,360,0.92,677,338,0.91
31,469,232,0.95,509,249,0.96,571,256,0.94,597,358,0.92,681,336,0.91
32,473,231,0.95,513,248,0.96,575,255,0.94,601,357,0.92,685,335,0.91
33,477,230,0.95,517,247,0.96,579,253,0.94,605,355,0.92,689,335,0.91
34,480,228,0.95,520,245,0.96,582,251,0.94,608,352,0.92,692,336,0.91
35,484,227,0.95,524,244,0.96,586,250,0.94,612,349,0.92,696,339,0.91
36,487,225,0.95,527,241,0.96,589,249,0.94,615,344,0.92,699,342,0.91
37,491,222,0.95,531,240,0.96,593,247,0.94,619,340,0.92,703,344,0.91
38,494,221,0.95,534,238,0.96,596,245,0.94,622,335,0.92,706,347,0.91
39,497,218,0.95,537,236,0.96,599,244,0.94,625,331,0.92,709,349,0.91
40,500,217,0.95,540,235,0.96,602,243,0.94,628,327,0.92,712,353,0.91
41,503,215,0.95,543,233,0.96,605,242,0.94,631,323,0.92,715,355,0.91
42,506,214,0.95,546,233,0.96,608,242,0.94,634,321,0.92,718,357,0.91
43,508,214,0.95,548,233,0.96,610,242,0.94,636,320,0.92,720,358,0.91
44,510,214,0.95,550,233,0.96,612,242,0.94,638,320,0.92,722,358,0.91
45,513,214,0.95,553,233,0.96,615,242,0.94,641,320,0.92,725,358,0.91
46,515,214,0.95,555,234,0.96,617,243,0.94,643,322,0.92,727,356,0.91
47,517,215,0.95,557,235,0.96,619,244,0.94,645,325,0.92,729,353,0.91
48,519,217,0.95,559,236,0.96,621,245,0.94,647,328,0.92,731,350,0.91
49,520,218,0.95,560,237,0.96,622,245,0.94,648,332,0.92,732,346,0.91
50,522,220,0.95,562,238,0.96,624,247,0.94,650,336,0.92,734,344,0.91
