frame,nose_x,nose_y,nose_likelihood,neck_x,neck_y,neck_likelihood,withers_x,withers_y,withers_likelihood,frontleg_x,frontleg_y,frontleg_likelihood,backleg_x,backleg_y,backleg_likelihood
0,255,228,0.95,295,246,0.96,350,253,0.94,375,335,0.92,455,343,0.91
1,262,229,0.95,302,247,0.96,357,254,0.94,382,338,0.92,462,340,0.91
2,269,231,0.95,309,248,0.96,364,255,0.94,389,343,0.92,469,337,0.91
3,276,233,0.95,316,250,0.96,371,256,0.94,396,347,0.92,476,335,0.91
4,283,235,0.95,323,251,0.96,378,257,0.94,403,350,0.92,483,334,0.91
5,290,236,0.95,330,252,0.96,385,258,0.94,410,352,0.92,490,334,0.91
6,297,237,0.95,337,253,0.96,392,259,0.94,417,353,0.92,497,335,0.91
7,304,238,0.95,344,254,0.96,399,260,0.94,424,354,0.92,504,336,0.91
8,310,238,0.95,350,253,0.96,405,259,0.94,430,352,0.92,510,338,0.91
9,317,238,0.95,357,253,0.96,412,259,0.94,437,350,0.92,517,342,0.91
10,324,237,0.95,364,252,0.96,419,259,0.94,444,347,0.92,524,345,0.91
11,330,235,0.95,370,252,0.96,425,258,0.94,450,344,0.92,530,348,0.91
12,336,235,0.95,376,251,0.96,431,258,0.94,456,341,0.92,536,351,0.91
13,343,234,0.95,383,250,0.96,438,257,0.94,463,337,0.92,543,355,0.91
14,349,232,0.95,389,249,0.96,444,257,0.94,469,334,0.92,549,358,0.91
15,354,231,0.95,394,249,0.96,449,257,0.94,474,331,0.92,554,361,0.91
16,360,231,0.95,400,249,0.96,455,257,0.94,480,329,0.92,560,363,0.91
17,366,230,0.95,406,248,0.96,461,256,0.94,486,328,0.92,566,362,0.91
18,371,230,0.95,411,248,0.96,466,256,0.94,491,328,0.92,571,362,0.91
19,376,229,0.95,416,248,0.96,471,256,0.94,496,328,0.92,576,360,0.91
20,381,230,0.95,421,248,0.96,476,257,0.94,501,330,0.92,581,358,0.91
21,385,230,0.95,425,248,0.96,480,256,0.94,505,332,0.92,585,354,0.91
22,390,230,0.95,430,248,0.96,485,255,0.94,510,334,0.92,590,350,0.91
23,394,230,0.95,434,248,0.96,489,255,0.94,514,337,0.92,594,345,0.91
24,398,230,0.95,438,248,0.96,493,255,0.94,518,339,0.92,598,341,0.91
25,402,230,0.95,442,247,0.96,497,254,0.94,522,342,0.92,602,337,0.91
26,405,230,0.95,445,247,0.96,500,253,0.94,525,344,0.92,605,332,0.91
27,408,230,0.95,448,246,0.96,503,252,0.94,528,345,0.92,608,329,0.91
28,411,229,0.95,451,245,0.96,506,251,0.94,531,345,0.92,611,327,0.91
29,414,228,0.95,454,244,0.96,509,250,0.94,534,344,0.92,614,326,0.91
30,416,227,0.95,456,243,0.96,511,249,0.94,536,343,0.92,616,325,0.91
31,418,226,0.95,458,241,0.96,513,247,0.94,538,340,0.92,618,326,0.91
32,420,225,0.95,460,240,0.96,515,246,0.94,540,338,0.92,620,328,0.91
33,421,223,0.95,461,238,0.96,516,245,0.94,541,333,0.92,621,331,0.91
34,423,221,0.95,463,238,0.96,518,245,0.94,543,330,0.92,623,334,0.91
